section,identifier,computed,target,error_or_factor,source_role
table,m_pi_MeV,139.58523938610981,139.59999999999999,0.00010573505651998019,source fit target
table,m_rho_MeV,776.75865513526674,775.79999999999995,0.0012356988080262712,source fit target
table,m_a1_MeV,1358.2431775013968,1363,0.003489965149378754,source prediction
table,f_pi_MeV,92.427279800261829,92.400000000000006,0.00029523593356951388,source fit target
table,sqrt_F_rho_MeV,329.81203113181948,329,0.0024681797319741059,source prediction
table,sqrt_F_a1_MeV,485.83344002002707,486,0.00034271600817475456,source prediction
table,g_rho_pi_pi,4.4852856575036339,4.4800000000000004,0.0011798342642039112,source prediction
gmor,R_GMOR,1.0393710083869432,1,1,derived limit check
gmor,R_GMOR,1.0170806497746532,1,0.5,derived limit check
gmor,R_GMOR,1.0078915592453839,1,0.25,derived limit check
gmor,R_GMOR,1.003783893786274,1,0.125,derived limit check
